Clave;Fuente;Fecha licitacion;Apertura;Cierre;Estado;Categoria;Titulo;Emisor;Tipo (API);Moneda titulo;Moneda monto;Moneda (clase);Monto a licitar;Monto adjudicado;Adjudicado / licitado;Tasa/margen de corte (%);Desierta;Valor de corte (texto);Variable licitada;Sistema adjudicacion;Ampliable hasta;Liquidacion;Vencimiento;Plazo (dias);Industria;Colocadores;Liquidador;Rueda;Modalidad;Observaciones;Enlace
a3:-924;a3;2026-09-18;10:00;16:00;Finalizada;ON PyME CNV;ON BAJO IMPACTO RIBOLDI SERIE I;RIBOLDI S.A.;Privada - ON/VCP BAJO IMPACTO;USD;USD;USD;1.500.000,00;1.500.000,00;1,0000;6,4000;;TASA DE CORTE: 6.4%;TASA;Holandés;NO AMPLIABLE;2026-09-23;2029-03-23;912;;BANCO SUPERVIELLE S.A. BANCO CMF S.A.;Clear;OBI1;Abierta;Las Obligaciones Negociables Serie I serán Suscriptas, Integradas y Pagaderas en Dólares Estadounidenses en la República Argentina.;
a3:-940;a3;2026-09-18;10:00;16:00;Finalizada;Deuda Publica;LETRAS DEL TESORO DE LA PROVINCIA DEL CHUBUT CXXII CLASE 1;PROVINCIA DEL CHUBUT - MINISTERIO DE ECONOMIA Y CREDITO PUBLICO;Pública;ARS PESOS;ARS PESOS;ARS;10.000.000.000,00;29.119.963.531,00;2,9120;4,5000;;MARGEN DE CORTE: 4.50%;MARGEN;Holandés;EL MONTO MÁXIMO DISPONIBLE;2026-09-21;2026-11-30;70;;BANCO DEL CHUBUT S.A. PUENTE HNOS. S.A. BANCO DE SERVICIOS Y TRANSACCIONES S.A. GLOBAL VALORES S.A. BALANZ CAPITAL VALORES S.A.U. BANCO COMAFI S.A. BANCO PATAGONIA S.A. BANCO HIPOTECARIO S.A. BANCO SANTANDER ARGENTINA S.A. ST SECURITIES S.A.U. BULL MARKET BROKERS S.A. CUCCHIARA y CÍA. S.A. NUEVO CHACO BURSATIL S.A. CONO SUR INVERSIONES S.A. TRUEGRIT CAPITAL S.A. COHEN S.A. BANCO DE LA NACION ARGENTINA ADCAP SECURITIES ARGENTINA S.A. BANCO COINAG S.A.;Clear;CHUB;Ciega;"Las Letras Serie CXXII podrán integrarse mediante: (i) la entrega de los Pesos ($) necesarios; y/o (ii) la entrega de los Dólares Estadounidenses necesarios al Tipo de Cambio de Integración.";
a3:-941;a3;2026-09-18;10:00;16:00;Finalizada;Deuda Publica;LETRAS DEL TESORO DE LA PROVINCIA DEL CHUBUT CXXII CLASE 2;PROVINCIA DEL CHUBUT - MINISTERIO DE ECONOMIA Y CREDITO PUBLICO;Pública;ARS PESOS;ARS PESOS;ARS;10.000.000.000,00;16.380.036.469,00;1,6380;5,5000;;MARGEN DE CORTE: 5.50%;MARGEN;Holandés;EL MONTO MÁXIMO DISPONIBLE;2026-09-21;2027-03-29;189;;BANCO DEL CHUBUT S.A. PUENTE HNOS. S.A. BANCO DE SERVICIOS Y TRANSACCIONES S.A. GLOBAL VALORES S.A. BALANZ CAPITAL VALORES S.A.U. BANCO COMAFI S.A. BANCO PATAGONIA S.A. BANCO HIPOTECARIO S.A. BANCO SANTANDER ARGENTINA S.A. ST SECURITIES S.A.U. BULL MARKET BROKERS S.A. CUCCHIARA y CÍA. S.A. NUEVO CHACO BURSATIL S.A. CONO SUR INVERSIONES S.A. TRUEGRIT CAPITAL S.A. COHEN S.A. BANCO DE LA NACION ARGENTINA ADCAP SECURITIES ARGENTINA S.A. BANCO COINAG S.A.;Clear;CHUB;Ciega;"Las Letras Serie CXXII podrán integrarse mediante: (i) la entrega de los Pesos ($) necesarios; y/o (ii) la entrega de los Dólares Estadounidenses necesarios al Tipo de Cambio de Integración.";
cnv:3571161;cnv;2026-09-17;18:09;;Anunciada;ON Corporativa;OTRA INFORMACIÓN DEL ADMINSITRADO - INFORME DE CALIFICACIÓN DE LAS OBLIGACIONES NEGOCIABLES CLASE VII;OTAMERICA EBYTEM S.A..;CNV - ON;;;;;;;;;;;;;;;;;;;;;OTRA INFORMACIÓN DEL ADMINSITRADO - INFORME DE CALIFICACIÓN DE LAS OBLIGACIONES NEGOCIABLES CLASE VII;https://aif2.cnv.gov.ar/Presentations/publicview/EAE955A8-38B6-4FDF-938A-0A1ECA6F7A7F
cnv:3571104;cnv;2026-09-17;15:59;;Anunciada;ON Corporativa;INFORMACIÓN RELEVANTE RELATIVA A INSTRUMENTOS - CANCELACIÓN PARCIAL OBLIGACIONES NEGOCIABLES CLASE 36 Y 37;CIA. GENERAL DE COMBUSTIBLES S.A..;CNV - ON;;;;;;;;;;;;;;;;;;;;;INFORMACIÓN RELEVANTE RELATIVA A INSTRUMENTOS - CANCELACIÓN PARCIAL OBLIGACIONES NEGOCIABLES CLASE 36 Y 37;https://aif2.cnv.gov.ar/Presentations/publicview/2F800EC8-E18A-4D12-9696-C3F2BB845635
a3:-787;a3;2026-09-17;11:00;16:00;Finalizada;Deuda Publica;LETRAS DE TESORERIA DE LA PROVINCIA DEL CHACO CLASE 15 (NUEVA);PROVINCIA DEL CHACO - MINISTERIO DE PLANIFICACION Y ECONOMIA;Pública;ARS PESOS;ARS PESOS;ARS;5.000.000.000,00;16.881.478.745,00;3,3763;27,0000;;TASA DE CORTE: 27.00%;TASA;Holandés;EL MONTO MÁXIMO A EMITIR;2026-09-18;2026-12-11;84;;NUEVO CHACO BURSATIL S.A. BANCO DE SERVICIOS Y TRANSACCIONES S.A. PUENTE HNOS. S.A. ADCAP SECURITIES ARGENTINA S.A. GLOBAL VALORES S.A. COCOS CAPITAL S.A. BUENOS AIRES VALORES S.A. SBS TRADING S.A.;Clear;LPCH;Ciega;Integración: En Pesos y/o Dólares Estadounidenses.;
a3:-788;a3;2026-09-17;11:00;16:00;Finalizada;Deuda Publica;LETRAS DE TESORERIA DE LA PROVINCIA DEL CHACO CLASE 16 (NUEVA);PROVINCIA DEL CHACO - MINISTERIO DE PLANIFICACION Y ECONOMIA;Pública;ARS PESOS;ARS PESOS;ARS;5.000.000.000,00;257.644.579,00;0,0515;5,5000;;MARGEN DE CORTE: 5.50%;MARGEN;Holandés;EL MONTO MÁXIMO A EMITIR;2026-09-18;2027-03-12;175;;NUEVO CHACO BURSATIL S.A. BANCO DE SERVICIOS Y TRANSACCIONES S.A. PUENTE HNOS. S.A. ADCAP SECURITIES ARGENTINA S.A. GLOBAL VALORES S.A. COCOS CAPITAL S.A. BUENOS AIRES VALORES S.A. SBS TRADING S.A.;Clear;LPCH;Ciega;Integración: En Pesos y/o Dólares Estadounidenses.;
a3:-789;a3;2026-09-17;11:00;16:00;Finalizada;Deuda Publica;LETRAS DE TESORERIA DE LA PROVINCIA DEL CHACO CLASE 17 (NUEVA);PROVINCIA DEL CHACO - MINISTERIO DE PLANIFICACION Y ECONOMIA;Pública;ARS PESOS;ARS PESOS;ARS;5.000.000.000,00;;;;;DESIERTO;MARGEN;Holandés;EL MONTO MÁXIMO A EMITIR;2026-09-18;2027-09-10;357;;NUEVO CHACO BURSATIL S.A. BANCO DE SERVICIOS Y TRANSACCIONES S.A. PUENTE HNOS. S.A. ADCAP SECURITIES ARGENTINA S.A. GLOBAL VALORES S.A. COCOS CAPITAL S.A. BUENOS AIRES VALORES S.A. SBS TRADING S.A.;Clear;LPCH;Ciega;Integración: En Pesos y/o Dólares Estadounidenses.;
a3:-900;a3;2026-09-17;11:00;16:00;Finalizada;Deuda Publica;LETRAS DE TESORERIA DE LA PROVINCIA DEL CHACO CLASE 9 (REAPERTURA);PROVINCIA DEL CHACO - MINISTERIO DE PLANIFICACION Y ECONOMIA;Pública;ARS PESOS;ARS PESOS;ARS;5.000.000.000,00;50.031.830.843,00;10,0064;;;PRECIO DE CORTE: 1.043388;PRECIO;Holandés;EL MONTO MÁXIMO A EMITIR;2026-09-18;2026-10-16;28;;NUEVO CHACO BURSATIL S.A. BANCO DE SERVICIOS Y TRANSACCIONES S.A. PUENTE HNOS. S.A. ADCAP SECURITIES ARGENTINA S.A. GLOBAL VALORES S.A. COCOS CAPITAL S.A. BUENOS AIRES VALORES S.A. SBS TRADING S.A.;Clear;LPCH;Ciega;Integración: En Pesos y/o Dólares Estadounidenses;
a3:-901;a3;2026-09-17;11:00;16:00;Finalizada;Deuda Publica;LETRAS DE TESORERIA DE LA PROVINCIA DEL CHACO CLASE 12 (REAPERTURA);PROVINCIA DEL CHACO - MINISTERIO DE PLANIFICACION Y ECONOMIA;Pública;ARS PESOS;ARS PESOS;ARS;5.000.000.000,00;7.794.965.725,00;1,5590;;;PRECIO DE CORTE: 1.029210;PRECIO;Holandés;EL MONTO MÁXIMO A EMITIR;2026-09-18;2026-11-13;56;;NUEVO CHACO BURSATIL S.A. BANCO DE SERVICIOS Y TRANSACCIONES S.A. PUENTE HNOS. S.A. ADCAP SECURITIES ARGENTINA S.A. GLOBAL VALORES S.A. COCOS CAPITAL S.A. BUENOS AIRES VALORES S.A. SBS TRADING S.A.;Clear;LPCH;Ciega;Integración: En Pesos y/o Dólares Estadounidenses;
a3:-916;a3;2026-09-17;10:00;16:15;Finalizada;ON Corporativa;ON CON RECURSO LIMITADO VACA MUERTA OIL SUR CLASE 1;VMOS S.A.;Privada - ON;USD;USD;USD;100.000.000,00;233.654.373,00;2,3365;6,2500;;TASA DE CORTE: 6.25%;TASA;Holandés;300000000;2026-09-22;2030-09-22;1461;;BALANZ CAPITAL VALORES S.A.U. BANCO DE GALICIA Y BUENOS AIRES S.A. BANCO SANTANDER ARGENTINA S.A. MACRO SECURITIES S.A.U. BANCO PATAGONIA S.A. BANCO MARIVA S.A. SBS TRADING S.A. COCOS CAPITAL S.A. ADCAP SECURITIES ARGENTINA S.A. DA VALORES S.A. BANCO BBVA ARGENTINA S.A. ALLARIA S.A. GLOBAL VALORES S.A. LATIN SECURITIES S.A. ONE618 FINANCIAL SERVICES S.A.U. BANCO DE LA PROVINCIA DE BUENOS AIRES BANCO PIANO S.A. BANCO DE LA PROVINCIA DE CORDOBA S.A. INVERTIR EN BOLSA S.A. MAX CAPITAL S.A. INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.;Clear;MSEC;Abierta;Las Obligaciones Negociables Clase 1 deberán ser Suscriptas, Integradas y Pagaderas en Dólares Estadounidenses en la República Argentina;
a3:-920;a3;2026-09-17;10:00;16:00;Finalizada;Fideicomiso Financiero;FF MEDIANO IMPACTO AMPLIADO COMAFI LEASING PYMES XX;TMF Trust Company (Argentina) S.A.;Privada – FF MEDIANO IMPACTO;ARS PESOS;ARS PESOS;ARS;18.600.000.000,00;18.600.000.000,00;1,0000;;;PRECIO DE CORTE VDFA: $ 1.0050 POR CADA V/N $ 1 / PRECIO DE CORTE VDFB: $ 1.00 POR CADA V/N $ 1;PRECIO;Holandés;NO AMPLIABLE;2026-09-22;;;;BANCO COMAFI S.A. COMAFI BURSATIL S.A.;Clear;FMI1;Abierta;Se ofrecen Valores Fiduciarios por los siguientes V/N: VDFA: $ 16.500.000.000 / VDFB: $ 2.100.000.000;
a3:-921;a3;2026-09-17;10:00;16:00;Finalizada;Fideicomiso Financiero;FF FIDUCAR XXXV;ROSARIO ADMINISTRADORA SOCIEDAD FIDUCIARIA S.A.;Privada - FF;ARS PESOS;ARS PESOS;ARS;9.883.265.871,00;9.883.265.871,00;1,0000;26,6700;;VDFA: TIR DE CORTE 26.67% / VDFB: TIR DE CORTE 29.77% / CP PRECIO DE CORTE: 100%;VDF: TIR / CP: PRECIO;Holandés;NO AMPLIABLE;2026-09-18;;;;STONEX SECURITIES S.A.;Clear;STNX;Abierta;Se ofrecen Valores Fiduciarios por los siguientes V/N: VDFA $ 6.015.448.576 / VDFB $ 410.144.221 / CP $ 3.457.673.074. Los Valores Fiduciarios solo podrán ser adquiridos por Inversores Calificados.;
a3:-917;a3;2026-09-15;10:00;16:00;Finalizada;ON Corporativa;ON PAYWAY CLASE 1;PAYWAY S.A.U.;Privada - ON;ARS PESOS;ARS PESOS;ARS;40.000.000.000,00;80.000.000.000,00;2,0000;4,0000;;MARGEN DE CORTE: 4.00 %;MARGEN;Holandés;80000000000;2026-09-17;2027-09-17;365;;BANCO DE GALICIA Y BUENOS AIRES S.A. MACRO SECURITIES S.A.U.;Clear;MSEC;Abierta;Las Obligaciones Negociables Clase 1 serán Suscriptas, Integradas y Pagaderas en Pesos;
a3:-895;a3;2026-09-14;10:00;16:00;Finalizada;Deuda Publica;TÍTULOS DE DEUDA BANCO DE LA PROVINCIA DE BUENOS AIRES CLASE VII;BANCO DE LA PROVINCIA DE BUENOS AIRES;Pública;ARS PESOS;ARS PESOS;ARS;20.000.000,00;60.797.817.351,00;3.039,8909;4,2500;;MARGEN DE CORTE: 4.25%;MARGEN;Holandés;EL MONTO TOTAL OFRECIDO;2026-09-16;2027-09-16;365;;BANCO DE LA PROVINCIA DE BUENOS AIRES BALANZ CAPITAL VALORES S.A.U. INVERTIRONLINE S.A.U. COCOS CAPITAL S.A. BANCO BBVA ARGENTINA S.A. MACRO SECURITIES S.A.U. BANCO COMAFI S.A. BANCO PATAGONIA S.A. BANCO DE GALICIA Y BUENOS AIRES S.A. PUENTE HNOS. S.A. PROVINCIA BURSATIL S.A. SBS TRADING S.A.;Clear;BPBA;Abierta;Los Títulos de Deuda Clase VII serán Suscriptos, Integrados y Pagaderos en Pesos.;
a3:-896;a3;2026-09-14;10:00;16:00;Finalizada;Deuda Publica;TÍTULOS DE DEUDA BANCO DE LA PROVINCIA DE BUENOS AIRES CLASE VIII;BANCO DE LA PROVINCIA DE BUENOS AIRES;Pública;USD;USD;USD;20.000.000,00;33.593.271,00;1,6797;5,7500;;TASA DE CORTE: 5.75%;TASA;Holandés;EL MONTO TOTAL OFRECIDO;2026-09-16;2028-09-16;731;;BANCO DE LA PROVINCIA DE BUENOS AIRES PROVINCIA BURSATIL S.A. BALANZ CAPITAL VALORES S.A.U. INVERTIRONLINE S.A.U. COCOS CAPITAL S.A. BANCO BBVA ARGENTINA S.A. MACRO SECURITIES S.A.U. BANCO COMAFI S.A. BANCO PATAGONIA S.A. BANCO DE GALICIA Y BUENOS AIRES S.A. PUENTE HNOS. S.A. SBS TRADING S.A.;Clear;BPBA;Abierta;Los Títulos de Deuda Clase VIII deberán ser Suscriptos e Integrados: (i) en efectivo, en Dólares Estadounidenses en la República Argentina y/o (ii) en especie mediante la entrega de los Títulos de Deuda Clase III;
a3:-594;a3;2026-09-11;10:00;15:00;Finalizada;Deuda Publica;LETRA DEL TESORO NACIONAL EN PESOS AJUSTADA POR CER A DTO CON VTO. 29/01/2027 (X29E7) - REAPERTURA;MINISTERIO DE ECONOMÍA;Pública;ARS PESOS;ARS PESOS;ARS;1,00;688.546.760.526,00;688.546.760.526,0000;;;PRECIO DE CORTE POR CADA VNO $ 1.000: $ 1000.55;PRECIO;Holandés;El monto máximo autorizado por la normativa vigente.;2026-09-15;2027-01-29;136;;MINISTERIO DE ECONOMÍA;CRYL;LIC3;Ciega;Las entidades que carguen ofertas en estos Tramos No Competitivos, solo podrán hacer una orden por CUIL o CUIT de Clientes. Se aceptará una única oferta por inversor y deberá ser menor o igual a un monto de VNO $ 50.000.000. Los Tramos Competitivos estarán destinados a: i) Personas Físicas o Jurídicas por montos mayores a VNO $ 50.000.000, y ii) a todo otro tipo de inversor, que por sus características fue excluido del Tramo No Competitivo, con una oferta mínima de VNO $ 1.000.000, y no tendrán limitación de monto máximo a ofertar. Para más información ver el aviso adjunto.;
a3:-597;a3;2026-09-11;10:00;15:00;Finalizada;Deuda Publica;LETRA DEL TESORO NACIONAL CAPITALIZABLE EN PESOS CON VTO. 13/11/2026 (S13N6) - REAPERTURA;MINISTERIO DE ECONOMÍA;Pública;ARS PESOS;ARS PESOS;ARS;1,00;3.858.364.282.164,00;3.858.364.282.164,0000;;;PRECIO DE CORTE POR CADA VNO $ 1.000: $ 1053.92;PRECIO;Holandés;El monto máximo autorizado por la normativa vigente.;2026-09-15;2026-11-13;59;;MINISTERIO DE ECONOMÍA;CRYL;LIC3;Ciega;Las entidades que carguen ofertas en estos Tramos No Competitivos, solo podrán hacer una orden por CUIL o CUIT de Clientes. Se aceptará una única oferta por inversor y deberá ser menor o igual a un monto de VNO $ 50.000.000. Los Tramos Competitivos estarán destinados a: i) Personas Físicas o Jurídicas por montos mayores a VNO $ 50.000.000, y ii) a todo otro tipo de inversor, que por sus características fue excluido del Tramo No Competitivo, con una oferta mínima de VNO $ 1.000.000, y no tendrán limitación de monto máximo a ofertar. Para más información ver el aviso adjunto.;
a3:-598;a3;2026-09-11;10:00;15:00;Finalizada;Deuda Publica;BONO DEL TESORO NACIONAL EN PESOS A TASA TAMAR CON VTO 26/02/2027 (TMF27) - REAPERTURA;MINISTERIO DE ECONOMÍA;Pública;ARS PESOS;ARS PESOS;ARS;1,00;1.137.877.898.615,00;1.137.877.898.615,0000;;;PRECIO DE CORTE POR CADA VNO $ 1.000: $ 1221.00;PRECIO;Holandés;El monto máximo autorizado por la normativa vigente.;2026-09-15;2027-02-26;164;;MINISTERIO DE ECONOMÍA;CRYL;LIC3;Ciega;Las entidades que carguen ofertas en estos Tramos No Competitivos, solo podrán hacer una orden por CUIL o CUIT de Clientes. Se aceptará una única oferta por inversor y deberá ser menor o igual a un monto de VNO $ 50.000.000. Los Tramos Competitivos estarán destinados a: i) Personas Físicas o Jurídicas por montos mayores a VNO $ 50.000.000, y ii) a todo otro tipo de inversor, que por sus características fue excluido del Tramo No Competitivo, con una oferta mínima de VNO $ 1.000.000, y no tendrán limitación de monto máximo a ofertar. Para más información ver el aviso adjunto.;
a3:-599;a3;2026-09-11;10:00;15:00;Finalizada;Deuda Publica;BONO DEL TESORO NACIONAL EN PESOS A TASA TAMAR CON VTO. 30/07/2027 (TML27) - REAPERTURA;MINISTERIO DE ECONOMÍA;Pública;ARS PESOS;ARS PESOS;ARS;1,00;1.192.851.936.001,00;1.192.851.936.001,0000;;;PRECIO DE CORTE POR CADA VNO $ 1.000: $ 1075.00;PRECIO;Holandés;El monto máximo autorizado por la normativa vigente.;2026-09-15;2027-07-30;318;;MINISTERIO DE ECONOMÍA;CRYL;LIC3;Ciega;Las entidades que carguen ofertas en estos Tramos No Competitivos, solo podrán hacer una orden por CUIL o CUIT de Clientes. Se aceptará una única oferta por inversor y deberá ser menor o igual a un monto de VNO $ 50.000.000. Los Tramos Competitivos estarán destinados a: i) Personas Físicas o Jurídicas por montos mayores a VNO $ 50.000.000, y ii) a todo otro tipo de inversor, que por sus características fue excluido del Tramo No Competitivo, con una oferta mínima de VNO $ 1.000.000, y no tendrán limitación de monto máximo a ofertar. Para más información ver el aviso adjunto.;
a3:-817;a3;2026-09-11;10:00;15:00;Finalizada;Deuda Publica;BONO DEL TESORO NACIONAL VINCULADO AL DÓLAR ESTADOUNIDENSE CERO CUPÓN CON VTO. 30/06/2027 (TZV27) - REAPERTURA;MINISTERIO DE ECONOMÍA;Pública;USD LINK;USD LINK;USD;1,00;133.577.973,00;133.577.973,0000;;;PRECIO DE CORTE POR CADA VNO USD 1.000: USD 960.35;PRECIO;Holandés;El monto máximo autorizado por la normativa vigente.;2026-09-15;2027-06-30;288;;MINISTERIO DE ECONOMÍA;CRYL;LIC3;Ciega;Las entidades que carguen ofertas en estos Tramos No Competitivos, solo podrán hacer una orden por CUIL o CUIT de Clientes, se aceptará una sola oferta por inversor y deberá ser menor o igual a un monto de VNO USD 50.000. Los Tramos Competitivos estarán destinados a: i) Personas Físicas o Jurídicas por montos mayores a VNO USD 50.000, y ii) a todo otro tipo de inversor, que por sus características fue excluido del Tramo No Competitivo, con una oferta mínima de VNO USD 1.000 para el instrumento denominado en dólares estadounidenses y no tendrán limitación de monto máximo a ofertar. Para más información ver el Llamado a licitación.;
a3:-903;a3;2026-09-11;10:00;15:00;Finalizada;Deuda Publica;LETRA DEL TESORO NACIONAL VINCULADA AL DÓLAR ESTADOUNIDENSE CERO CUPÓN CON VTO. 30/10/2026 (D30O6) - REAPERTURA;MINISTERIO DE ECONOMÍA;Pública;USD LINK;USD LINK;USD;1,00;314.069.993,00;314.069.993,0000;;;PRECIO DE CORTE POR CADA VNO USD 1.000: USD 989.54;PRECIO;Holandés;El monto máximo autorizado por la normativa vigente.;2026-09-15;2026-10-30;45;;MINISTERIO DE ECONOMÍA;CRYL;LIC3;Ciega;Las entidades que carguen ofertas en estos Tramos No Competitivos, solo podrán hacer una orden por CUIL o CUIT de Clientes, se aceptará una sola oferta por inversor y deberá ser menor o igual a un monto de VNO USD 50.000. Los Tramos Competitivos estarán destinados a: i) Personas Físicas o Jurídicas por montos mayores a VNO USD 50.000, y ii) a todo otro tipo de inversor, que por sus características fue excluido del Tramo No Competitivo, con una oferta mínima de VNO USD 1.000 para el instrumento denominado en dólares estadounidenses y no tendrán limitación de monto máximo a ofertar. Para más información ver el Llamado a licitación.;
a3:-904;a3;2026-09-11;10:00;15:00;Finalizada;Deuda Publica;LETRA DEL TESORO NACIONAL VINCULADA AL DÓLAR ESTADOUNIDENSE CERO CUPÓN CON VTO. 30/11/2026 (D30N6) - NUEVA;MINISTERIO DE ECONOMÍA;Pública;USD LINK;USD LINK;USD;1,00;62.858.409,00;62.858.409,0000;;;PRECIO DE CORTE POR CADA VNO USD 1.000: USD 985.20;PRECIO;Holandés;El monto máximo autorizado por la normativa vigente.;2026-09-15;2026-11-30;76;;MINISTERIO DE ECONOMÍA;CRYL;LIC3;Ciega;Las entidades que carguen ofertas en estos Tramos No Competitivos, solo podrán hacer una orden por CUIL o CUIT de Clientes, se aceptará una sola oferta por inversor y deberá ser menor o igual a un monto de VNO USD 50.000. Los Tramos Competitivos estarán destinados a: i) Personas Físicas o Jurídicas por montos mayores a VNO USD 50.000, y ii) a todo otro tipo de inversor, que por sus características fue excluido del Tramo No Competitivo, con una oferta mínima de VNO USD 1.000 para el instrumento denominado en dólares estadounidenses y no tendrán limitación de monto máximo a ofertar. Para más información ver el Llamado a licitación.;
a3:-905;a3;2026-09-11;10:00;15:00;Finalizada;Deuda Publica;LETRA DEL TESORO NACIONAL VINCULADA AL DÓLAR ESTADOUNIDENSE CERO CUPÓN CON VTO. 31/03/2027 (D31M7) - REAPERTURA;MINISTERIO DE ECONOMÍA;Pública;USD LINK;USD LINK;USD;1,00;154.131.343,00;154.131.343,0000;;;PRECIO DE CORTE POR CADA VNO USD 1.000: USD 961.00;PRECIO;Holandés;El monto máximo autorizado por la normativa vigente.;2026-09-15;2027-03-31;197;;MINISTERIO DE ECONOMÍA;CRYL;LIC3;Ciega;Las entidades que carguen ofertas en estos Tramos No Competitivos, solo podrán hacer una orden por CUIL o CUIT de Clientes, se aceptará una sola oferta por inversor y deberá ser menor o igual a un monto de VNO USD 50.000. Los Tramos Competitivos estarán destinados a: i) Personas Físicas o Jurídicas por montos mayores a VNO USD 50.000, y ii) a todo otro tipo de inversor, que por sus características fue excluido del Tramo No Competitivo, con una oferta mínima de VNO USD 1.000 para el instrumento denominado en dólares estadounidenses y no tendrán limitación de monto máximo a ofertar. Para más información ver el Llamado a licitación.;
a3:-899;a3;2026-09-10;10:00;16:00;Finalizada;Fideicomiso Financiero;FF MEDIANO IMPACTO AMPLIADO GOCRÉDITOS SERIE 1;TMF Trust Company (Argentina) S.A.;Privada – FF MEDIANO IMPACTO;ARS PESOS;ARS PESOS;ARS;5.343.227.882,00;5.343.227.882,00;1,0000;5,5000;;MARGEN DE CORTE VDFA: 5.50% / MARGEN DE CORTE VDFB: 15.00% / PRECIO DE CORTE CP: 100%;VDFA/VDFB: MARGEN - CP: PRECIO;Holandés;NO AMPLIABLE;2026-09-11;;;;STONEX SECURITIES S.A.;Clear;FMI1;Abierta;Se ofrecen Valores Fiduciarios por los siguientes V/N: VDFA: $ 3.633.394.960 / VDFB: $ 283.191.078 / CP: $ 1.426.641.844;
a3:-914;a3;2026-09-10;10:00;16:00;Finalizada;Fideicomiso Financiero;FF MERCADO CRÉDITO LIV;BANCO PATAGONIA S.A.;Privada - FF;ARS PESOS;ARS PESOS;ARS;149.999.999.998,00;149.999.999.998,00;1,0000;22,0700;;TIR DE CORTE VDF: 22.07% PRECIO DE CORTE CP: 100%;TIR/PRECIO;Holandés;NO AMPLIABLE;2026-09-15;;;;BANCO PATAGONIA S.A. ALLARIA S.A.;Clear;BPAT;Abierta;Se ofrecen Valores Fiduciarios por los siguientes V/N: VDF: $ 124.499.999.998 / CP: $ 25.500.000.000. Los Valores Fiduciarios sólo podrán ser adquiridos por Inversores Calificados.;
cnv:202609091411-fideicomiso-financiero-individual-desarrollo-mi;cnv;2026-09-09;11:11;;Anunciada;Fideicomiso Financiero;HECHO RELEVANTE - FIDEICOMISO FINANCIERO INDIVIDUAL “DESARROLLO MINERO MARTÍN BRONCE”;"FIDEICOMISO FINANCIERO INDIVIDUAL ""DESARROLLO MINERO MARTÍN BRONCE""";CNV - FF;;;;;;;;;;;;;;;;;;;;;HECHO RELEVANTE - FIDEICOMISO FINANCIERO INDIVIDUAL “DESARROLLO MINERO MARTÍN BRONCE”;https://aif2.cnv.gov.ar/Presentations/publicview/58fa764f-0af5-4c0e-bf38-9a6d018f65d7
a3:-892;a3;2026-09-09;10:00;16:00;Finalizada;ON PyME CNV;ON MEDIANO IMPACTO PROMEDON SERIE II;PROMEDON S.A.;Privada - ON/VCP MEDIANO IMPACTO;USD;USD;USD;3.000.000,00;4.500.000,00;1,5000;7,9000;;TASA DE CORTE: 7.90 %;TASA;Holandés;4.500.000;2026-09-14;2029-09-14;1096;;S&C INVERSIONES S.A. DRACMA INVESTMENTS S.A. PETRINI VALORES S.A. BECERRA BURSÁTIL S.A. BANCO DE LA PROVINCIA DE CORDOBA S.A. COHEN S.A.;Clear;OMI1;Abierta;Las Obligaciones Negociables Serie II serán Suscriptas, Integradas y Pagaderas en Dólares Estadounidenses en la República Argentina. Las Obligaciones Negociables bajo el Régimen de Oferta Pública con Autorización Automática por su Mediano Impacto sólo podrán ser adquiridas por los Inversores Calificados.;
a3:-911;a3;2026-09-09;10:00;16:00;Finalizada;ON PyME CNV;ON BAJO IMPACTO RAFAELA ALIMENTOS SERIE I CLASE I;RAFAELA ALIMENTOS S.A.;Privada - ON/VCP BAJO IMPACTO;ARS PESOS;ARS PESOS;ARS;2.000.000,00;5.487.500.000,00;2.743,7500;0,0000;;MARGEN DE CORTE: 0.00 %;MARGEN;Holandés;5.500.000;2026-09-11;2028-03-11;547;;BANCO COMAFI S.A. BANCO MARIVA S.A. BANCO SUPERVIELLE S.A. BANCO CMF S.A. BANCO DE LA PROVINCIA DE BUENOS AIRES BANCO DE SERVICIOS Y TRANSACCIONES S.A. SBS TRADING S.A.;Clear;OBI1;Abierta;Las Obligaciones Negociables Clase I serán Suscriptas, Integradas y Pagaderas en Pesos.;
a3:-912;a3;2026-09-09;10:00;16:00;Finalizada;ON PyME CNV;ON BAJO IMPACTO RAFAELA ALIMENTOS SERIE I CLASE II;RAFAELA ALIMENTOS S.A.;Privada - ON/VCP BAJO IMPACTO;USD LINK;USD LINK;USD;2.000.000,00;1.864.797,00;0,9324;5,9800;;TASA DE CORTE: 5.98 %;TASA;Holandés;5.500.000;2026-09-11;2028-03-11;547;;BANCO COMAFI S.A. BANCO MARIVA S.A. BANCO SUPERVIELLE S.A. BANCO CMF S.A. BANCO DE LA PROVINCIA DE BUENOS AIRES BANCO DE SERVICIOS Y TRANSACCIONES S.A. SBS TRADING S.A.;Clear;OBI1;Abierta;Las Obligaciones Negociables Clase II deberán ser Suscriptas e Integradas en Pesos al Tipo de Cambio Inicial;
